run_accession,fastq_ftp,fastq_bytes,fastq_md5,submitted_ftp,submitted_bytes,submitted_md5,sra_ftp,sra_bytes,sra_md5
ERR019040,ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019040/ERR019040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR019/ERR019040/ERR019040_2.fastq.gz,688238673;633105243,b0acb0fffbc0962a5e6b028e93afa70f;1e69de1f71d6d332a5cbbe02fec5f3aa,ftp.sra.ebi.ac.uk/vol1/run/ERR019/ERR019040/4345_5_nonhuman.srf,8742496472,2a341249e2b939e6aeba4cbd1e1e56ec,ftp.sra.ebi.ac.uk/vol1/err/ERR019/ERR019040/col/Y/idx2,1076,325f57465bf30ec2f159eb1346922eb2
ERR020123,ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020123/ERR020123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020123/ERR020123_2.fastq.gz,373819249;319379808,da61e3b527682a966043586dd85b959c;e855110dc9b163ff0caade6a16e139a3,ftp.sra.ebi.ac.uk/vol1/run/ERR020/ERR020123/5074_1_nonhuman.srf,5916166636,f84c269ccb4d8a3ec10595639c35dd83,ftp.sra.ebi.ac.uk/vol1/err/ERR020/ERR020123/col/READ/md/cur,58,08acd285942dbecc41be5166f6505f7e
ERR020124,ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020124/ERR020124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020124/ERR020124_2.fastq.gz,400811237;347693040,f0e2ac594c11ea953454a43d6d69f743;e900c3a9eb4360aef1d40554ba819bf2,ftp.sra.ebi.ac.uk/vol1/run/ERR020/ERR020124/5074_2_nonhuman.srf,6181122532,90d624bc66aa29f3e21fd07a2c63270a,ftp.sra.ebi.ac.uk/vol1/err/ERR020/ERR020124/col/RD_FILTER/idx0,0,d41d8cd98f00b204e9800998ecf8427e
ERR020125,ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020125/ERR020125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR020/ERR020125/ERR020125_2.fastq.gz,271174424;229477379,a8bd3f7d5ff625e5784c4ab240c82b9d;d27f05c7fddb5b7ede571cd923869eb5,ftp.sra.ebi.ac.uk/vol1/run/ERR020/ERR020125/5074_3_nonhuman.srf,4136025161,c4443a6f78a2bd9a61ac506c8cc5388d,ftp.sra.ebi.ac.uk/vol1/err/ERR020/ERR020125/col/Y/idx0,0,d41d8cd98f00b204e9800998ecf8427e
ERR021980,ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021980/ERR021980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021980/ERR021980_2.fastq.gz,1018796946;834869323,17929903e00a71f59790468bf9bdbd60;5749e84cf20aa076194285ba2e9b148b,ftp.sra.ebi.ac.uk/vol1/run/ERR021/ERR021980/5124_2_nonhuman.srf,12805405053,0924f2b93a82b5aaffcf7fd58457d432,ftp.sra.ebi.ac.uk/vol1/err/ERR021/ERR021980/col/RD_FILTER/idx,40,111165ed0cc1ebaa90b69be2b6652675
ERR021981,ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021981/ERR021981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021981/ERR021981_2.fastq.gz,392241770;331821276,d86ed1f1831c7abf0cbeb483e9d6f741;467ee0f52aca1bdf752ed5697965bb3d,ftp.sra.ebi.ac.uk/vol1/run/ERR021/ERR021981/5124_3_nonhuman.srf,5003180370,ae37dfe4f4986322ccd9b6d5d3cc157f,ftp.sra.ebi.ac.uk/vol1/err/ERR021/ERR021981/col/RD_FILTER/idx1,132,a47588ca419d4c0f9bff03ffbb2f1a12
ERR021982,ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021982/ERR021982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021982/ERR021982_2.fastq.gz,1393963764;1208541905,577057456ed615e9d3d788789e60d7fc;c1c74ad198adf0faa58b0d3346983a02,ftp.sra.ebi.ac.uk/vol1/run/ERR021/ERR021982/5124_5_nonhuman.srf,17132774621,0afaa1a8c6ba00674475ce7ca3949048,ftp.sra.ebi.ac.uk/vol1/err/ERR021/ERR021982/col/RD_FILTER/idx,40,111165ed0cc1ebaa90b69be2b6652675
ERR021983,ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021983/ERR021983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021983/ERR021983_2.fastq.gz,1652830767;1425894019,b01c18e713282238fb6969cfc3f86307;6852eca1d4346a9bce2b5a16eaa92103,ftp.sra.ebi.ac.uk/vol1/run/ERR021/ERR021983/5124_6_nonhuman.srf,20331524065,3e4de92c0550fb7f00a6cf401a7fd636,ftp.sra.ebi.ac.uk/vol1/err/ERR021/ERR021983/col/RD_FILTER/data,1180,154ff3ccf18f83f772b023991d6d731d
ERR021984,ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021984/ERR021984_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021984/ERR021984_2.fastq.gz,99467918;80067267,6c80dee660996252f237a7f530253d1f;e19ee16eacea71291118378c225fa493,ftp.sra.ebi.ac.uk/vol1/run/ERR021/ERR021984/5124_7_nonhuman.srf,1415205399,36bc492e00daba9c2120085cd3735b80,ftp.sra.ebi.ac.uk/vol1/err/ERR021/ERR021984/col/X/idx1,132,a9df36e3dd21977133d7171f4ad8f6d1
ERR021985,ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021985/ERR021985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR021/ERR021985/ERR021985_2.fastq.gz,576733691;497026380,61aaca6100b8cc79a5863e4e692debd1;7feb4c1696e8327c5f5c1fbbf93a5f4d,ftp.sra.ebi.ac.uk/vol1/run/ERR021/ERR021985/5124_8_nonhuman.srf,7137312443,4ccce285c9e08691ffa43068731b3d88,ftp.sra.ebi.ac.uk/vol1/err/ERR021/ERR021985/col/X/idx0,0,d41d8cd98f00b204e9800998ecf8427e
